iter	Passed	Remaining
611	25293	16036
612	25340	15997
613	25395	15965
614	25441	15926
615	25470	15877
616	25516	15839
617	25558	15798
618	25601	15758
619	25642	15716
620	25679	15672
621	25715	15627
622	25757	15586
623	25798	15545
624	25843	15505
625	25887	15466
626	25928	15424
627	25965	15381
628	26005	15338
629	26054	15301
630	26086	15255
631	26123	15211
632	26159	15167
633	26203	15126
634	26241	15083
635	26274	15037
636	26311	14993
637	26348	14950
638	26388	14907
639	26432	14868
640	26473	14827
641	26516	14786
642	26553	14742
643	26592	14700
644	26636	14660
645	26679	14620
646	26720	14578
647	26760	14536
648	26803	14496
649	26841	14453
650	26878	14409
651	26918	14367
652	26962	14327
653	27003	14286
654	27042	14243
655	27086	14203
656	27130	14164
657	27169	14121
658	27212	14081
659	27250	14038
660	27291	13996
661	27335	13956
662	27378	13916
663	27422	13876
664	27477	13841
665	27512	13797
666	27549	13753
667	27588	13711
668	27633	13672
669	27667	13627
670	27711	13587
671	27756	13547
672	27795	13505
673	27831	13461
674	27878	13423
675	27929	13386
676	27968	13343
677	28008	13301
678	28052	13262
679	28096	13221
680	28141	13182
681	28183	13141
682	28227	13101
683	28263	13057
684	28303	13015
685	28339	12971
686	28383	12931
687	28419	12888
688	28473	12852
689	28509	12808
690	28546	12765
691	28586	12723
692	28629	12683
693	28668	12640
694	28710	12599
695	28755	12559
696	28788	12515
697	28828	12473
698	28872	12432
699	28912	12391
700	28955	12350
701	28991	12307
702	29031	12264
703	29072	12223
704	29117	12183
705	29159	12142
706	29193	12098
707	29228	12054
708	29272	12014
709	29318	11974
710	29363	11935
711	29408	11895
712	29447	11853
713	29502	11817
714	29541	11775
715	29568	11728
716	29610	11687
717	29644	11642
718	29682	11600
719	29724	11559
720	29758	11515
721	29800	11474
722	29842	11433
723	29879	11390
724	29911	11345
725	29937	11298
726	29976	11256
727	30013	11213
728	30053	11172
729	30091	11129
730	30130	11087
731	30172	11046
732	30217	11006
733	30256	10964
734	30299	10924
735	30341	10883
736	30377	10840
737	30413	10797
738	30456	10756
739	30500	10716
740	30557	10680
741	30602	10640
742	30639	10598
743	30681	10557
744	30716	10513
745	30752	10470
746	30791	10428
747	30823	10384
748	30868	10344
749	30903	10301
750	30950	10261
751	31003	10224
752	31045	10183
753	31091	10143
754	31132	10102
755	31171	10060
756	31208	10017
757	31251	9977
758	31292	9936
759	31330	9893
760	31372	9852
761	31415	9812
762	31446	9767
763	31482	9725
764	31521	9682
765	31570	9644
766	31607	9601
767	31646	9559
768	31686	9518
769	31727	9477
770	31759	9432
771	31796	9390
772	31837	9349
773	31872	9306
774	31916	9266
775	31962	9226
776	32009	9186
777	32050	9145
778	32093	9104
779	32134	9063
780	32175	9022
781	32208	8978
782	32252	8938
783	32279	8893
784	32311	8849
785	32354	8809
